velocity,cot
4.126192,0.394559
4.178288,0.471506
4.241239,0.347781
4.289735,0.440342
4.254756,0.322268
4.187050,0.371540
4.207093,0.480817
4.216068,0.371471
4.233625,0.432098
4.152534,0.396865
4.142589,0.312878
4.156189,0.458954
4.163930,0.316533
4.190515,0.422310
4.167516,0.502391
4.144519,0.381007
4.232296,0.284009
4.203097,0.340301
4.233023,0.439654
4.179630,0.353078
4.287641,0.531784
4.342095,0.353503
4.365323,0.441246
4.347001,0.373364
4.215326,0.387660
4.159360,0.408341
4.124643,0.438796
4.135535,0.507177
4.128345,0.266633
4.181216,0.347117
4.137678,0.316244
4.199774,0.304584
4.192419,0.452740
4.205387,0.398056
