velocity,cot
3.666350,0.356283
1.343976,1.392995
1.940392,0.744500
1.168501,0.826578
1.621446,1.224757
1.781415,0.988803
1.817576,0.500854
1.513316,0.692103
1.696136,0.536707
1.801002,1.121567
1.478184,0.893982
1.770889,0.961385
1.892912,0.750008
1.403243,0.725092
1.755959,0.377083
1.754181,0.944559
1.429721,1.161654
1.776861,0.625822
2.083550,0.841353
1.483994,0.844146
1.576057,0.373590
1.768802,0.910852
1.963022,0.694683
2.684398,0.751546
1.297784,0.654723
1.896755,0.590794
1.845673,0.827958
1.457319,0.717045
1.608170,1.108678
1.307346,0.727436
1.630733,0.271668
1.590288,0.656454
1.716114,1.225188
1.802209,0.848299
1.864195,0.926683
1.582319,0.506072
1.796842,0.995212
1.902155,0.955888
1.490434,0.561072
1.248566,1.420500
1.120166,0.434488
1.484640,1.786770
1.558304,0.642281
1.918318,0.959835
1.387629,1.657520
1.367055,0.833336
1.707293,0.494415
1.270154,0.280203
1.361418,2.132137
1.952985,0.561634
1.779636,0.880121
1.896411,0.732197
1.510603,0.962527
1.394997,0.721881
1.740024,1.154692
1.817331,0.905853
1.362181,0.865996
1.533074,0.919005
1.783355,0.710630
1.821721,1.134728
1.469973,1.124754
1.890298,0.798148
1.446216,0.736711
1.257469,0.953863
1.775500,0.757634
1.793713,0.836005
1.522963,0.330994
1.210342,0.123222
1.541683,0.752621
1.526424,0.329998
1.808810,1.397005
1.667255,0.964102
1.554227,0.582415
1.338778,0.568295
1.449871,0.618120
1.705802,1.182626
1.622601,0.642131
1.240580,1.329065
1.654603,0.724231
